,day,cumulative_infected,type,type_pretty
0,1.0,0.0,Total infected,0%
1,2.0,0.11110000000002174,Total infected,0%
2,3.0,0.36369999999999436,Total infected,0%
3,4.0,0.7172000000000196,Total infected,0%
4,5.0,1.3231999999999857,Total infected,0%
5,6.0,2.454499999999996,Total infected,0%
6,7.0,3.3333000000000084,Total infected,0%
7,8.0,3.9090000000000202,Total infected,0%
8,9.0,4.888900000000007,Total infected,0%
9,10.0,6.4950000000000045,Total infected,0%
10,11.0,8.5454,Total infected,0%
11,12.0,11.202099999999973,Total infected,0%
12,13.0,15.010100000000023,Total infected,0%
13,14.0,17.474700000000013,Total infected,0%
14,15.0,19.525299999999987,Total infected,0%
15,16.0,21.68690000000001,Total infected,0%
16,17.0,24.484800000000007,Total infected,0%
17,18.0,27.484800000000007,Total infected,0%
18,19.0,31.58589999999998,Total infected,0%
19,20.0,36.18179999999998,Total infected,0%
20,21.0,39.28280000000004,Total infected,0%
21,22.0,41.828400000000016,Total infected,0%
22,23.0,44.49500000000003,Total infected,0%
23,24.0,47.7071,Total infected,0%
24,25.0,51.232399999999984,Total infected,0%
25,26.0,55.363800000000026,Total infected,0%
26,27.0,60.131399999999985,Total infected,0%
27,28.0,63.18179999999998,Total infected,0%
28,29.0,65.74759999999995,Total infected,0%
29,30.0,68.63639999999998,Total infected,0%
30,31.0,71.30310000000003,Total infected,0%
31,32.0,74.5556,Total infected,0%
32,33.0,77.99000000000004,Total infected,0%
33,34.0,82.01010000000005,Total infected,0%
34,35.0,84.81820000000002,Total infected,0%
35,36.0,86.73730000000003,Total infected,0%
36,37.0,88.94950000000003,Total infected,0%
37,38.0,91.26260000000002,Total infected,0%
38,39.0,93.52530000000002,Total infected,0%
39,40.0,96.43440000000004,Total infected,0%
40,41.0,99.293,Total infected,0%
41,42.0,101.52539999999999,Total infected,0%
42,43.0,103.01009999999997,Total infected,0%
43,44.0,104.71719999999996,Total infected,0%
44,45.0,106.21209999999999,Total infected,0%
45,46.0,107.99000000000001,Total infected,0%
46,47.0,109.899,Total infected,0%
47,48.0,112.23240000000001,Total infected,0%
48,49.0,113.7375,Total infected,0%
49,50.0,114.87890000000002,Total infected,0%
50,51.0,115.95970000000001,Total infected,0%
51,52.0,117.34360000000001,Total infected,0%
52,53.0,118.9294,Total infected,0%
53,54.0,120.7173,Total infected,0%
54,55.0,122.78790000000001,Total infected,0%
55,56.0,124.202,Total infected,0%
56,57.0,125.2222,Total infected,0%
57,58.0,126.2929,Total infected,0%
58,59.0,127.73740000000001,Total infected,0%
59,60.0,129.2626,Total infected,0%
60,1.0,0.0,Total infected,10%
61,2.0,0.09090000000000487,Total infected,10%
62,3.0,0.2626000000000204,Total infected,10%
63,4.0,0.4747000000000128,Total infected,10%
64,5.0,0.8585000000000207,Total infected,10%
65,6.0,1.737400000000008,Total infected,10%
66,7.0,2.222200000000015,Total infected,10%
67,8.0,2.7980999999999767,Total infected,10%
68,9.0,3.616199999999992,Total infected,10%
69,10.0,4.656599999999997,Total infected,10%
70,11.0,6.353599999999972,Total infected,10%
71,12.0,8.616099999999989,Total infected,10%
72,13.0,11.454500000000024,Total infected,10%
73,14.0,13.32310000000001,Total infected,10%
74,15.0,15.040500000000037,Total infected,10%
75,16.0,16.9495,Total infected,10%
76,17.0,19.242400000000004,Total infected,10%
77,18.0,21.959600000000023,Total infected,10%
78,19.0,25.545500000000004,Total infected,10%
79,20.0,29.46460000000002,Total infected,10%
80,21.0,32.323200000000014,Total infected,10%
81,22.0,34.61620000000005,Total infected,10%
82,23.0,37.0,Total infected,10%
83,24.0,39.48490000000001,Total infected,10%
84,25.0,42.74750000000003,Total infected,10%
85,26.0,46.21209999999999,Total infected,10%
86,27.0,50.2424,Total infected,10%
87,28.0,52.929400000000015,Total infected,10%
88,29.0,54.79800000000006,Total infected,10%
89,30.0,57.03030000000001,Total infected,10%
90,31.0,59.31310000000002,Total infected,10%
91,32.0,62.080900000000014,Total infected,10%
92,33.0,64.57589999999996,Total infected,10%
93,34.0,67.53529999999998,Total infected,10%
94,35.0,69.5959,Total infected,10%
95,36.0,71.1617,Total infected,10%
96,37.0,72.8991,Total infected,10%
97,38.0,74.67680000000001,Total infected,10%
98,39.0,76.94960000000003,Total infected,10%
99,40.0,79.10099999999997,Total infected,10%
100,41.0,81.495,Total infected,10%
101,42.0,83.33330000000001,Total infected,10%
102,43.0,84.5455,Total infected,10%
103,44.0,86.0506,Total infected,10%
104,45.0,87.68689999999998,Total infected,10%
105,46.0,89.5757,Total infected,10%
106,47.0,91.6667,Total infected,10%
107,48.0,94.0808,Total infected,10%
108,49.0,95.74749999999999,Total infected,10%
109,50.0,96.8586,Total infected,10%
110,51.0,98.05049999999999,Total infected,10%
111,52.0,99.55550000000001,Total infected,10%
112,53.0,100.91919999999999,Total infected,10%
113,54.0,102.5051,Total infected,10%
114,55.0,104.18180000000001,Total infected,10%
115,56.0,105.32320000000001,Total infected,10%
116,57.0,106.27279999999999,Total infected,10%
117,58.0,107.36370000000001,Total infected,10%
118,59.0,108.57579999999999,Total infected,10%
119,60.0,109.8282,Total infected,10%
120,1.0,0.0,Total infected,40%
121,2.0,0.02020000000001687,Total infected,40%
122,3.0,0.10110000000000241,Total infected,40%
123,4.0,0.2524999999999977,Total infected,40%
124,5.0,0.36360000000001946,Total infected,40%
125,6.0,0.6060999999999979,Total infected,40%
126,7.0,0.8889000000000067,Total infected,40%
127,8.0,1.1211999999999875,Total infected,40%
128,9.0,1.504999999999967,Total infected,40%
129,10.0,2.080799999999982,Total infected,40%
130,11.0,2.7778000000000134,Total infected,40%
131,12.0,3.7272999999999854,Total infected,40%
132,13.0,4.929300000000012,Total infected,40%
133,14.0,5.828400000000016,Total infected,40%
134,15.0,6.5455000000000325,Total infected,40%
135,16.0,7.4646999999999935,Total infected,40%
136,17.0,8.474799999999988,Total infected,40%
137,18.0,9.787900000000008,Total infected,40%
138,19.0,11.3031,Total infected,40%
139,20.0,12.939400000000006,Total infected,40%
140,21.0,14.33329999999998,Total infected,40%
141,22.0,15.171699999999987,Total infected,40%
142,23.0,16.292900000000003,Total infected,40%
143,24.0,17.40400000000001,Total infected,40%
144,25.0,18.69699999999999,Total infected,40%
145,26.0,20.2526,Total infected,40%
146,27.0,22.01020000000001,Total infected,40%
147,28.0,23.464699999999993,Total infected,40%
148,29.0,24.272800000000004,Total infected,40%
149,30.0,25.3737,Total infected,40%
150,31.0,26.626299999999986,Total infected,40%
151,32.0,28.040299999999988,Total infected,40%
152,33.0,29.585899999999995,Total infected,40%
153,34.0,31.181900000000013,Total infected,40%
154,35.0,32.303,Total infected,40%
155,36.0,33.31309999999999,Total infected,40%
156,37.0,34.0706,Total infected,40%
157,38.0,35.11110000000002,Total infected,40%
158,39.0,36.38380000000002,Total infected,40%
159,40.0,37.596000000000004,Total infected,40%
160,41.0,38.909099999999995,Total infected,40%
161,42.0,39.88889999999999,Total infected,40%
162,43.0,40.68679999999999,Total infected,40%
163,44.0,41.454499999999996,Total infected,40%
164,45.0,42.33329999999998,Total infected,40%
165,46.0,43.48490000000001,Total infected,40%
166,47.0,44.75760000000001,Total infected,40%
167,48.0,45.919200000000004,Total infected,40%
168,49.0,46.80810000000001,Total infected,40%
169,50.0,47.52520000000001,Total infected,40%
170,51.0,48.2222,Total infected,40%
171,52.0,49.020300000000006,Total infected,40%
172,53.0,50.1011,Total infected,40%
173,54.0,51.04050000000001,Total infected,40%
174,55.0,52.353600000000014,Total infected,40%
175,56.0,53.16170000000001,Total infected,40%
176,57.0,53.75750000000001,Total infected,40%
177,58.0,54.55560000000001,Total infected,40%
178,59.0,55.272700000000015,Total infected,40%
179,60.0,56.07069999999999,Total infected,40%
180,1.0,0.0,Total infected,70%
181,2.0,0.02020000000000266,Total infected,70%
182,3.0,0.0707000000000022,Total infected,70%
183,4.0,0.1414000000000044,Total infected,70%
184,5.0,0.2021000000000015,Total infected,70%
185,6.0,0.3131999999999948,Total infected,70%
186,7.0,0.39399999999999125,Total infected,70%
187,8.0,0.5050999999999988,Total infected,70%
188,9.0,0.5858999999999952,Total infected,70%
189,10.0,0.6868000000000052,Total infected,70%
190,11.0,0.8686999999999898,Total infected,70%
191,12.0,1.0302999999999827,Total infected,70%
192,13.0,1.2728000000000037,Total infected,70%
193,14.0,1.4142000000000081,Total infected,70%
194,15.0,1.484899999999982,Total infected,70%
195,16.0,1.6463999999999999,Total infected,70%
196,17.0,1.8484000000000123,Total infected,70%
197,18.0,2.070599999999999,Total infected,70%
198,19.0,2.262600000000006,Total infected,70%
199,20.0,2.5353000000000065,Total infected,70%
200,21.0,2.686800000000005,Total infected,70%
201,22.0,2.8988999999999976,Total infected,70%
202,23.0,3.1111000000000075,Total infected,70%
203,24.0,3.414100000000005,Total infected,70%
204,25.0,3.6768000000000143,Total infected,70%
205,26.0,3.9495000000000005,Total infected,70%
206,27.0,4.262600000000006,Total infected,70%
207,28.0,4.555500000000009,Total infected,70%
208,29.0,4.727299999999985,Total infected,70%
209,30.0,4.888900000000007,Total infected,70%
210,31.0,5.262599999999992,Total infected,70%
211,32.0,5.515200000000007,Total infected,70%
212,33.0,5.737400000000008,Total infected,70%
213,34.0,6.080799999999996,Total infected,70%
214,35.0,6.3232,Total infected,70%
215,36.0,6.565700000000007,Total infected,70%
216,37.0,6.767700000000005,Total infected,70%
217,38.0,7.020200000000003,Total infected,70%
218,39.0,7.2627000000000095,Total infected,70%
219,40.0,7.454599999999999,Total infected,70%
220,41.0,7.767700000000019,Total infected,70%
221,42.0,7.969700000000003,Total infected,70%
222,43.0,8.201999999999998,Total infected,70%
223,44.0,8.444400000000002,Total infected,70%
224,45.0,8.6768,Total infected,70%
225,46.0,8.898999999999994,Total infected,70%
226,47.0,9.2425,Total infected,70%
227,48.0,9.535400000000003,Total infected,70%
228,49.0,9.798000000000002,Total infected,70%
229,50.0,10.060599999999994,Total infected,70%
230,51.0,10.25249999999999,Total infected,70%
231,52.0,10.4546,Total infected,70%
232,53.0,10.696999999999996,Total infected,70%
233,54.0,10.979800000000004,Total infected,70%
234,55.0,11.333300000000001,Total infected,70%
235,56.0,11.515100000000004,Total infected,70%
236,57.0,11.636400000000009,Total infected,70%
237,58.0,11.818200000000004,Total infected,70%
238,59.0,12.02020000000001,Total infected,70%
239,60.0,12.252600000000001,Total infected,70%
